Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1975,795.03,795.03,795.03,451.73,795.03,580.06,1179.1,711.68,818.22,685.29,1304.93,629.23
1976,294.08,603.32,553.45,687.52,923.89,594.8,503.14,309.01,680.04,617.39,453.96,420.8
1977,351.42,360.2,477.35,370.58,249.07,267.82,252.7,343.96,466.99,372.39,359.08,343.99
1978,365.6,304.98,369.18,316.16,311.91,328.1,292.04,471.29,278.78,211.77,289.08,291.86
1979,339.98,454.37,428.58,361.95,272.81,345.56,504.45,358.89,287.38,288.07,276.47,269.1
1980,286.7,265.14,280.23,232.85,193.63,456.52,292.32,318.44,292.24,270.09,237.37,433.11
1981,414.78,394.1,326.46,320.69,342.3,401.25,637.47,532.01,420.42,402.81,363.78,521.2
1982,464.9,409.2,401.59,280.6,244.69,402.03,393.3,363.9,354.81,233.98,243.73,280.15
1983,221.37,267.56,334.12,387.8,386.2,277.29,341.75,395.37,388.78,346.38,232.03,230.69
1984,343.67,821.52,638.17,203.08,294.59,354.69,855.39,1264.49,322.51,273.27,237.65,224.45
1985,265.47,661.61,395.9,303.68,363.82,324.54,432.7,504.49,392.55,349.34,476.2,361.94
1986,307.54,452.07,781.79,531.74,385.47,418.29,534.7,464.16,332.93,303.02,312.18,380.17
1987,318.33,427.99,382.46,376.8,312.39,288.53,376.67,415.23,332.67,409.54,250.35,273.68
1988,340.42,305.57,323.91,297.38,276.5,394.91,408.78,822.63,552.49,326.59,255.06,277.07
1989,384.04,286.95,374.34,443.49,388.21,488.49,580.53,420.18,390.15,431.93,290.1,296.32
1990,233.31,352.68,358.34,299.77,390.13,338.22,490.05,425.8,349.09,526.0,274.89,266.28
1991,337.17,553.14,344.79,358.46,385.61,453.25,374.46,432.98,383.92,630.61,420.85,518.02
1992,370.33,429.33,448.93,418.75,516.69,334.92,567.31,673.24,416.72,394.47,384.01,442.92
1993,526.38,489.38,515.39,452.26,412.5,638.3,781.89,839.0,751.36,589.5,683.55,515.4
1994,2840.25,3151.77,2916.36,2908.1,2907.17,2902.08,3052.69,3151.49,2884.06,2914.63,2933.02,2936.62
1995,1826.03,2107.89,2529.93,1980.24,1823.04,1572.84,1935.54,1533.49,2517.63,2007.88,1708.78,1865.12
1996,1630.09,1638.7,1529.7,557.67,1210.38,1149.71,1407.94,1935.78,2069.28,1891.99,1426.06,1172.88
1997,1548.5,1191.63,1358.39,1196.38,796.27,1535.3,1434.08,1994.3,2098.29,2842.97,1891.06,1558.67
1998,1499.34,954.88,569.84,759.77,1132.94,2032.19,1837.62,1619.22,2128.19,1894.64,1732.42,1046.07
1999,579.86,1153.71,2203.8,2057.35,1922.88,584.8,2090.96,1864.78,2182.91,1548.07,1636.8,1782.52
2000,2404.77,2475.19,2417.52,2617.92,2210.35,1955.83,1636.84,2134.72,2421.25,2004.91,1575.9,2416.11
2001,1811.1,1594.41,1542.16,2166.39,2323.8,2410.08,2710.64,2442.54,2653.13,1824.62,1608.64,1326.78
2002,1862.06,2058.37,2118.04,2181.86,2483.04,2409.63,2345.35,1304.32,975.56,1867.55,1486.68,1652.34
2003,1596.82,1656.64,1865.39,1850.12,1672.29,1796.04,1502.08,1738.43,1758.12,2515.88,1693.14,1452.51
2004,1163.88,1438.9,1244.21,1568.3,1221.29,1679.46,1440.66,1323.02,1292.89,1332.99,1078.66,1189.12
2005,1129.05,1363.28,1750.55,2095.83,1661.93,2160.02,1775.23,1782.69,1728.9,1755.88,1695.09,1661.33
2006,1089.28,1261.32,1287.17,1667.8,1567.15,1525.64,1040.63,872.29,1092.96,1051.23,1009.66,874.37
2007,881.77,1070.26,996.8,1031.51,998.61,754.23,985.82,1088.15,1154.17,894.89,1015.49,905.62
2008,430.58,434.79,709.93,1365.21,1805.9,1885.4,1431.07,1582.47,1590.09,1839.06,1253.58,1512.71
2009,1254.56,1263.7,1427.89,1277.99,1652.58,1374.1,1267.03,1392.52,1278.89,1306.06,1295.7,1305.01
2010,1043.66,1223.09,1341.73,1359.53,1019.86,745.94,1032.68,1107.42,1174.95,1217.36,1132.96,1111.76
2011,1212.46,1310.75,1183.07,1373.59,1465.96,1371.66,1406.84,1331.71,1412.97,1426.68,1428.43,1473.01
2012,949.32,956.15,968.76,904.62,925.18,967.44,1019.44,1130.68,917.53,1187.5,1094.45,905.88
2013,1243.02,994.82,927.94,1055.3,1086.37,1057.5,1031.79,948.71,1071.68,1135.3,1181.62,1136.38
2014,903.59,775.53,877.45,774.25,852.91,892.58,790.7,725.88,846.41,884.64,849.77,763.93
2015,776.74,562.7,606.2,653.67,608.18,742.97,564.12,574.82,648.04,754.89,694.92,633.39
2016,1148.18,1130.32,1138.94,1309.83,1252.88,1589.59,1147.71,1119.15,1219.55,1222.88,1139.43,959.75
2017,736.04,872.15,809.86,743.94,707.5,687.72,902.74,770.94,758.22,739.04,750.26,732.63
