StationID,Location,latitude,longitude,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
BND,Illinois,40.05000,-88.36667,1994,7416.1,8250.28,7657.57,7774.65,7774.65,7774.65,7774.65,7774.65,7774.65,7774.65,7774.65,7774.65
BND,Illinois,40.05000,-88.36667,1995,5968.78,7162.29,8252.13,6663.81,6226.2,4933.42,6183.97,4861.15,8760.6,6857.58,5655.19,6026.33
BND,Illinois,40.05000,-88.36667,1996,4297.97,4297.97,4297.97,1100.31,3446.75,3127.36,4073.38,6261.03,6619.88,6095.89,4297.97,3659.17
BND,Illinois,40.05000,-88.36667,1997,5061.24,3513.42,4041.11,2966.04,2012.24,4978.89,3886.33,5925.26,7167.64,9868.82,5873.09,4452.61
BND,Illinois,40.05000,-88.36667,1998,4977.41,2695.79,1385.49,2085.67,3734.47,7184.38,6224.56,5529.68,7570.58,6596.9,5956.72,3211.31
BND,Illinois,40.05000,-88.36667,1999,1637.85,3933.22,8133.61,7547.79,7009.89,1657.6,7682.25,6777.52,8050.01,5482.2,5854.54,6487.96
BND,Illinois,40.05000,-88.36667,2000,6217.99,6543.14,6649.07,7308.78,5821.37,4900.29,3953.55,5364.21,6159.33,5224.76,3975.02,6389.4
BND,Illinois,40.05000,-88.36667,2001,4838.74,3904.77,4037.67,5492.51,6364.07,6477.71,7063.55,6463.2,7153.16,4801.06,3943.77,3367.73
BND,Illinois,40.05000,-88.36667,2002,5601.82,6073.06,6854.68,7054.04,7985.51,7704.97,7614.37,2939.81,2546.79,5630.17,4123.8,4756.18
BND,Illinois,40.05000,-88.36667,2003,4982.4,5406.11,5985.0,6009.06,5637.2,6043.0,4044.9,5665.2,5665.2,8696.23,5405.3,4442.75
BND,Illinois,40.05000,-88.36667,2004,4599.55,5857.2,4815.81,6209.2,4921.78,6739.7,5174.49,5174.49,5174.49,5174.49,3597.1,4655.6
BND,Illinois,40.05000,-88.36667,2005,4100.23,4992.79,7099.99,8834.96,6712.92,9075.09,6802.66,6802.66,6802.66,6802.66,6802.66,6802.66
BND,Illinois,40.05000,-88.36667,2006,3412.88,4004.24,4589.16,6308.12,5604.67,5396.43,3042.54,2584.61,3385.19,3092.87,2747.49,2310.01
BND,Illinois,40.05000,-88.36667,2007,2262.18,3633.62,2948.21,3428.14,3084.71,1772.27,3341.86,3540.98,3530.55,2372.63,2991.52,2991.52
BND,Illinois,40.05000,-88.36667,2008,333.41,179.78,1695.81,4860.33,7316.11,7519.33,5348.9,6071.29,6066.57,7504.07,4492.78,5586.46
BND,Illinois,40.05000,-88.36667,2009,2878.82,3313.1,4450.94,3615.91,5795.26,4761.62,4383.32,4171.28,4171.28,4171.28,4171.28,4171.28
BND,Illinois,40.05000,-88.36667,2010,3317.02,4183.36,4798.26,5074.97,2828.5,1905.21,3282.94,3627.18,3627.18,3627.18,3627.18,3627.18
BND,Illinois,40.05000,-88.36667,2011,4256.52,5171.72,4974.48,5031.48,5635.56,5013.95,5013.95,5013.95,5013.95,5013.95,5013.95,5013.95
BND,Illinois,40.05000,-88.36667,2012,2643.95,2821.43,2979.84,2815.07,2815.07,2815.07,2815.07,2815.07,2815.07,2815.07,2815.07,2815.07
BND,Illinois,40.05000,-88.36667,2013,3093.02,2379.65,2135.66,2836.97,2611.32,2611.32,2611.32,2611.32,2611.32,2611.32,2611.32,2611.32
BND,Illinois,40.05000,-88.36667,2014,1356.78,1356.78,1356.78,1356.78,1356.78,1356.78,1356.78,1356.78,1356.78,1356.78,1356.78,1356.78
BND,Illinois,40.05000,-88.36667,2016,2944.86,3000.24,3089.08,3747.66,3573.4,4391.22,2428.75,2540.93,2959.35,3042.59,2755.82,1812.17
BND,Illinois,40.05000,-88.36667,2017,1101.51,1795.6,1448.55,1448.55,1448.55,1448.55,1448.55,1448.55,1448.55,1448.55,1448.55,1448.55
BRW,Alaska,71.32301,-156.61147,1976,144.03,375.19,275.46,543.6,279.74,189.12,226.21,170.34,275.46,275.46,275.46,275.46
BRW,Alaska,71.32301,-156.61147,1977,205.73,116.93,888.21,258.21,121.87,132.67,127.95,205.7,73.08,70.2,66.36,123.69
