Year,Country,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1975,American Samoa,330.65,330.65,330.2,329.63,329.66,330.6,330.83,330.91,331.79,331.64,330.88,330.56
1975,United States,333.32,333.24,333.22,333.3,333.16,332.18,329.34,327.23,327.44,329.78,331.89,333.15
1976,American Samoa,330.52,330.6,330.82,331.17,331.42,331.1,330.98,331.53,331.9,332.17,332.62,332.95
1976,United States,332.56,332.8,333.28,334.17,334.15,332.84,331.08,329.01,328.64,329.98,331.74,333.1
1977,American Samoa,332.98,332.48,332.21,332.66,332.82,332.56,332.81,332.91,332.62,332.57,333.01,333.68
1977,United States,334.1,334.6,335.15,336.08,336.45,335.36,333.43,331.46,330.68,331.65,333.62,335.16
1978,American Samoa,334.04,333.79,334.37,334.52,334.28,334.88,334.51,334.22,334.38,334.5,334.4,334.14
1978,United States,335.86,336.42,336.81,337.18,337.42,336.88,334.97,332.91,332.51,333.58,335.29,336.38
1979,American Samoa,334.71,335.47,335.77,335.89,335.61,335.74,335.77,335.76,336.15,336.72,336.89,336.81
1979,Guam,337.82,337.82,339.35,339.81,340.06,339.73,338.48,336.97,335.41,334.58,335.85,338.0
1979,Portugal,339.92,339.92,339.92,339.92,339.92,339.92,339.92,339.92,339.92,339.92,339.92,339.92
1979,United Kingdom,337.7,337.7,337.7,337.7,337.7,337.7,337.7,337.44,337.31,337.28,337.94,338.55
1979,United States,337.34,337.98,338.86,339.46,339.66,338.36,335.25,333.01,333.3,335.21,336.83,337.57
1980,American Samoa,337.55,338.12,337.78,337.79,338.43,338.68,338.56,338.63,338.51,338.4,338.67,339.05
1980,Canada,339.7,339.7,339.7,344.42,344.04,343.21,338.81,333.51,333.3,337.01,340.2,342.77
1980,Guam,339.47,340.37,340.87,341.68,342.72,342.6,341.28,339.86,338.18,337.27,338.43,339.33
1980,Portugal,340.51,341.79,342.45,342.26,341.98,340.53,337.23,334.28,333.73,335.96,338.73,340.2
1980,Seychelles,340.63,341.45,341.31,339.71,338.38,338.44,338.6,338.58,338.73,339.01,339.29,339.87
1980,United Kingdom,338.37,338.03,338.02,338.47,338.88,339.52,339.81,339.8,339.55,339.15,338.88,338.91
1980,United States,339.39,340.48,341.07,341.64,341.41,339.81,337.39,335.14,334.82,336.67,338.91,340.68
1981,American Samoa,339.28,339.1,339.6,339.52,338.74,338.96,339.27,339.25,339.08,339.25,339.73,340.03
1981,Canada,344.24,345.0,345.67,346.04,346.85,345.8,338.72,332.74,334.02,338.5,341.49,344.17
1981,Guam,340.41,342.54,343.6,343.7,343.75,343.42,342.06,339.91,338.26,338.76,340.08,340.53
1981,Norway,341.56,341.56,345.86,345.72,346.57,345.01,337.62,333.0,335.18,339.49,342.91,344.22
1981,Portugal,340.53,342.06,343.78,344.36,343.7,340.54,336.98,334.45,334.11,336.31,338.97,341.03
1981,Seychelles,341.11,342.17,342.39,340.77,339.09,339.12,339.06,338.56,338.83,339.57,340.12,340.67
1981,United Kingdom,339.22,339.03,339.38,339.71,339.17,339.23,340.37,341.03,340.78,340.61,340.4,339.94
1981,United States,341.29,342.09,342.63,343.16,343.09,341.69,339.03,336.8,336.69,338.48,340.22,341.27
1982,American Samoa,340.59,340.96,340.64,340.13,339.64,339.76,340.41,340.82,340.43,340.19,340.53,340.98
1982,Canada,346.06,346.83,347.02,347.18,347.52,345.81,340.05,334.17,333.79,337.37,341.36,344.75
1982,France,339.79,339.79,339.17,339.2,339.16,339.47,339.95,340.19,340.19,340.18,340.23,340.2
1982,Guam,341.74,343.12,343.4,343.6,344.14,343.34,341.62,338.71,336.82,337.91,339.11,340.42
1982,Norway,344.67,345.32,345.85,345.92,345.76,344.72,338.8,332.38,333.29,338.34,342.15,344.51
1982,Portugal,342.18,343.35,345.16,346.21,344.84,341.87,336.48,332.45,334.84,339.23,343.27,344.73
1982,Seychelles,341.41,342.41,342.62,341.03,339.92,339.91,339.57,339.71,339.83,339.67,340.13,340.6
1982,United Kingdom,339.85,339.86,339.93,340.64,341.01,340.76,340.87,341.38,341.4,341.33,341.09,340.84
1982,United States,342.0,342.68,343.62,344.08,343.93,342.24,339.26,336.62,336.62,338.76,340.6,341.95
1983,American Samoa,340.92,340.68,340.78,340.98,341.42,341.9,342.06,341.93,341.86,342.1,342.26,342.6
1983,Canada,346.74,347.24,347.74,348.04,348.07,346.45,340.9,334.73,335.14,339.77,344.55,347.62
1983,France,340.31,340.51,340.7,340.83,340.83,341.15,341.62,341.91,341.97,341.99,342.13,342.08
1983,Guam,341.51,342.58,343.77,344.97,346.08,345.91,344.54,342.48,340.19,340.25,341.48,342.39
1983,Norway,345.31,345.63,347.08,347.59,346.57,344.46,338.85,334.14,335.63,340.76,343.84,346.08
1983,Portugal,345.37,345.58,345.05,345.64,345.57,343.98,342.1,338.96,337.55,340.44,343.83,345.0
1983,Seychelles,340.56,341.79,343.56,342.16,340.45,339.79,339.48,339.93,340.2,340.88,340.88,340.88
1983,United Kingdom,340.87,341.05,340.99,341.21,341.87,342.54,342.7,342.94,343.24,343.2,342.97,342.9
1983,United States,343.02,343.61,344.31,345.14,345.16,344.01,341.44,338.54,338.86,341.17,342.92,344.23
