Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1975,332.43,332.38,332.21,332.08,331.99,331.65,329.84,328.45,328.89,330.4,331.55,332.29
1976,332.26,332.49,332.93,333.74,333.76,332.59,331.06,329.37,329.1,330.3,331.87,333.08
1977,333.94,334.3,334.73,335.59,335.93,334.96,333.34,331.67,330.96,331.78,333.53,334.95
1978,335.66,336.13,336.54,336.88,337.07,336.66,334.92,333.05,332.72,333.68,335.2,336.13
1979,337.4,337.9,338.65,339.11,339.25,338.33,336.09,334.4,334.5,335.8,337.08,337.8
1980,339.38,340.22,340.59,341.22,341.1,340.13,338.16,336.2,335.83,337.19,338.97,340.37
1981,341.12,341.89,342.75,343.02,342.85,341.71,339.09,336.88,336.91,338.67,340.35,341.38
1982,342.01,342.69,343.33,343.6,343.4,342.11,339.46,337.0,337.04,338.99,340.77,342.03
1983,342.77,343.28,343.88,344.42,344.44,343.62,341.54,339.23,339.35,341.28,342.85,343.94
1984,345.05,345.52,345.82,346.15,346.26,345.09,343.01,341.53,341.65,342.89,344.27,345.49
1985,346.05,346.39,346.96,347.45,347.65,346.98,344.74,342.64,342.33,344.25,346.06,347.23
1986,347.93,348.36,348.68,349.1,349.23,348.27,345.76,343.89,344.14,345.81,347.38,348.33
1987,349.15,349.77,350.4,351.05,351.21,350.18,347.75,345.68,345.89,347.71,349.42,350.72
1988,351.74,352.45,352.93,353.57,353.65,352.48,350.22,348.31,348.68,350.3,351.91,353.25
1989,354.39,354.86,355.29,355.81,355.83,354.27,351.83,349.7,350.12,351.95,353.72,355.02
1990,355.69,356.24,356.64,356.81,356.65,355.33,353.16,351.37,351.83,353.51,355.18,356.11
1991,356.66,357.26,357.74,358.17,357.91,356.68,354.07,351.9,352.18,354.19,355.8,356.84
1992,357.77,358.21,358.64,359.14,358.93,357.3,354.7,352.52,352.58,354.72,356.47,357.65
1993,358.51,358.95,359.7,359.92,359.39,357.45,354.69,352.84,353.43,355.83,358.02,359.09
1994,360.17,361.02,361.34,361.43,360.98,359.48,357.05,354.98,355.36,358.04,360.35,361.42
1995,362.26,362.54,362.99,363.25,362.65,360.9,358.53,356.71,357.37,360.01,362.4,363.55
1996,364.34,364.9,365.14,365.23,364.84,363.34,360.72,358.47,358.68,361.22,363.29,364.79
1997,365.96,366.01,365.99,366.36,365.77,363.97,361.56,359.86,360.56,363.04,365.54,366.92
1998,367.54,367.89,368.22,368.38,367.81,366.18,363.8,362.42,363.39,365.93,368.25,369.77
1999,370.38,370.71,371.1,371.04,370.23,368.37,365.67,363.97,364.79,367.15,369.46,370.89
2000,371.51,371.72,371.97,371.91,371.01,369.52,367.59,365.84,366.39,368.97,371.17,372.41
2001,373.26,373.69,373.93,373.89,372.97,371.0,368.61,367.23,367.96,370.45,372.57,373.98
2002,375.19,375.3,375.66,376.16,375.32,373.27,370.68,369.21,370.32,372.97,375.19,376.62
2003,377.4,378.0,378.45,378.76,378.19,376.19,373.67,372.17,372.85,375.49,377.87,378.81
2004,379.47,380.23,380.59,380.53,379.81,377.87,375.11,373.0,373.85,376.66,379.13,380.39
2005,381.01,381.57,382.08,382.31,381.63,379.48,376.84,375.62,376.47,378.93,381.33,382.76
2006,383.46,383.94,384.11,384.26,383.71,381.85,379.26,377.56,378.53,381.2,383.47,384.76
2007,385.53,386.11,386.27,385.99,385.3,383.56,380.85,379.15,380.29,382.84,385.01,386.66
2008,387.8,388.49,388.82,388.66,387.6,385.65,383.07,381.17,381.9,384.39,386.82,388.41
2009,389.42,389.92,390.05,389.83,389.16,387.42,384.89,383.12,383.54,386.47,388.82,390.12
2010,391.34,392.02,392.07,391.84,391.37,389.71,387.28,385.87,387.05,389.83,391.95,392.9
2011,393.57,394.22,394.53,394.43,393.88,391.61,389.11,387.7,388.23,391.14,393.83,394.72
2012,395.26,395.91,396.06,396.0,395.18,393.06,390.32,389.11,390.73,393.53,395.97,397.11
2013,398.13,398.61,398.92,399.27,398.71,396.96,394.64,393.13,393.85,396.1,397.98,399.61
2014,400.65,401.13,401.09,401.11,400.43,398.34,395.38,393.53,394.64,397.63,399.91,401.34
2015,402.28,402.78,403.24,403.24,402.3,400.18,397.7,396.13,397.04,400.38,402.74,404.21
2016,405.12,405.48,405.95,406.06,405.26,403.53,401.27,399.92,400.96,403.76,405.93,407.0
2017,407.98,408.39,408.48,408.44,407.73,406.02,403.58,401.35,402.1,405.09,407.47,408.63
