Code,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Name,Country,Latitude,Longitude,Elevation (meters),Time from GMT
ABP,2006,380.82,380.82,380.82,380.82,380.82,380.82,380.82,380.82,380.82,380.72,380.82,380.92,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
ABP,2007,381.02,381.09,380.99,380.89,381.15,381.82,382.26,382.19,382.34,381.53,381.53,381.53,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
ABP,2008,384.23,384.23,383.02,382.64,382.83,383.83,384.34,384.2,384.77,385.46,385.64,385.56,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
ABP,2009,384.85,385.28,386.19,385.2,384.39,385.18,385.67,386.08,386.2,386.18,386.59,386.81,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
ALT,1985,344.06,344.06,344.06,344.06,344.06,349.94,343.98,337.96,339.09,342.85,345.66,348.97,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,1986,351.34,352.13,352.74,353.12,353.32,351.45,345.76,340.4,339.93,344.37,347.96,349.73,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,1987,351.03,352.39,353.51,354.05,354.27,352.93,348.14,341.97,341.82,346.41,350.37,352.65,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,1988,354.42,355.66,356.66,357.48,357.48,355.49,350.24,344.82,345.46,350.78,354.39,356.02,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,1989,357.9,359.49,360.34,359.86,359.38,358.04,351.51,345.67,346.63,350.67,355.63,359.78,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,1990,360.17,359.8,360.7,360.92,360.47,357.67,351.36,346.54,346.78,351.25,355.83,358.55,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,1991,360.7,361.51,361.59,361.85,361.7,360.14,354.29,348.0,348.63,353.14,357.22,361.26,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,1992,362.82,362.82,363.37,363.03,362.95,361.17,353.67,347.15,347.85,351.94,356.64,360.19,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,1993,361.37,361.77,362.73,363.42,363.47,360.61,354.12,348.48,349.08,353.1,357.47,360.51,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,1994,362.83,364.4,364.96,364.72,364.24,362.25,356.89,350.71,350.57,355.65,360.57,363.12,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,1995,364.38,365.6,366.04,365.62,365.53,363.95,357.72,352.34,353.06,357.61,362.63,365.36,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,1996,366.16,366.74,367.32,367.75,368.54,367.66,362.33,355.7,354.89,359.34,363.24,366.13,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,1997,368.18,368.71,368.3,368.49,369.02,367.08,360.6,355.27,356.08,360.9,364.58,367.38,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,1998,369.41,370.35,370.41,370.56,371.29,369.54,363.33,358.34,359.79,364.17,368.67,371.62,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,1999,372.91,373.65,374.03,374.36,374.49,371.53,364.88,359.34,360.33,364.48,369.29,372.5,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,2000,373.57,374.46,375.08,375.4,375.79,373.29,366.55,361.21,361.89,366.66,370.79,373.27,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,2001,375.29,376.13,376.32,377.13,377.55,374.53,367.18,361.88,362.93,368.27,372.96,375.27,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,2002,376.97,377.93,378.44,378.67,378.43,376.29,370.26,364.51,365.38,370.63,374.29,376.5,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,2003,379.13,381.09,381.43,381.44,382.02,379.64,372.58,367.8,368.57,373.03,377.33,380.31,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,2004,381.95,382.37,382.52,383.08,383.7,381.61,375.22,368.7,368.73,373.42,378.13,378.13,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,2005,379.75,379.75,379.75,385.67,385.58,383.41,377.31,371.35,371.7,376.31,381.83,384.61,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,2006,384.97,385.76,386.9,387.6,388.44,386.93,379.7,373.75,374.68,379.25,383.87,387.06,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,2007,388.75,389.12,389.61,389.8,389.44,387.6,380.38,373.23,374.52,380.33,385.09,388.84,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,2008,390.32,391.08,392.29,392.68,392.41,389.21,382.36,377.19,377.39,382.19,387.06,390.72,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,2009,392.52,392.24,392.4,393.73,393.85,391.27,384.28,377.73,378.26,382.78,387.56,391.37,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,2010,393.14,393.54,394.16,395.22,395.62,392.59,386.09,380.95,382.46,387.05,391.49,394.61,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,2011,396.11,396.91,397.6,398.07,397.9,394.99,388.51,381.66,382.09,388.15,393.72,396.88,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,2012,398.18,398.56,399.29,400.02,400.05,396.94,388.66,383.22,385.23,390.61,395.77,399.01,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,2013,400.45,401.03,401.31,402.04,402.95,401.3,394.63,388.35,388.64,393.83,398.9,402.04,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,2014,403.03,403.78,404.6,404.74,404.92,402.28,394.79,389.28,389.86,394.57,399.52,403.59,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,2015,404.99,406.39,407.47,406.93,406.61,403.59,396.38,391.18,392.47,397.08,402.69,406.22,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,2016,407.55,408.43,409.09,409.63,409.01,405.41,399.01,393.8,395.37,400.69,405.7,409.24,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
ALT,2017,411.29,412.33,413.38,413.62,413.26,410.16,402.56,396.9,397.69,402.83,407.79,410.79,"Alert, Nunavut",Canada,82.45100000000001,-62.507,190.0,-4 hours
AMS,1982,339.79,339.79,339.17,339.2,339.16,339.47,339.95,340.19,340.19,340.18,340.23,340.2,Amsterdam Island,France,-37.798,77.538,55.0,+5 hours
AMS,1983,340.31,340.51,340.7,340.83,340.83,341.15,341.62,341.91,341.97,341.99,342.13,342.08,Amsterdam Island,France,-37.798,77.538,55.0,+5 hours
AMS,1984,342.29,342.67,342.32,341.71,341.62,342.14,343.04,343.28,343.01,342.92,343.08,343.49,Amsterdam Island,France,-37.798,77.538,55.0,+5 hours
AMS,1985,343.6,343.5,343.78,343.85,343.77,343.96,344.32,344.71,344.91,345.0,345.04,345.02,Amsterdam Island,France,-37.798,77.538,55.0,+5 hours
AMS,1986,345.16,345.34,345.33,344.93,344.9,345.38,345.82,346.14,346.15,346.33,346.65,346.68,Amsterdam Island,France,-37.798,77.538,55.0,+5 hours
AMS,1987,346.88,346.91,346.85,347.12,347.33,347.57,348.03,348.72,349.26,349.39,349.44,349.59,Amsterdam Island,France,-37.798,77.538,55.0,+5 hours
AMS,1988,349.47,349.25,349.07,349.03,349.27,349.74,350.24,350.31,350.26,350.25,350.19,350.16,Amsterdam Island,France,-37.798,77.538,55.0,+5 hours
AMS,1989,350.25,350.43,350.46,350.26,350.12,350.48,351.02,351.27,351.4,351.21,351.2,351.49,Amsterdam Island,France,-37.798,77.538,55.0,+5 hours
AMS,1990,352.07,352.54,352.09,351.69,352.29,352.94,353.31,353.52,353.53,353.74,353.88,352.87,Amsterdam Island,France,-37.798,77.538,55.0,+5 hours
AMY,2013,408.5,408.5,408.5,408.5,408.5,408.5,408.5,408.5,408.5,408.5,408.5,408.5,Anmyeon-do,Republic of Korea,36.539,126.329,85.1,+9 hours
AMY,2014,412.25,412.26,412.79,413.16,410.54,406.24,403.76,400.83,401.63,409.45,410.78,417.61,Anmyeon-do,Republic of Korea,36.539,126.329,85.1,+9 hours
AMY,2015,418.79,415.56,418.56,416.55,411.46,403.64,403.9,405.79,402.77,409.35,416.04,415.91,Anmyeon-do,Republic of Korea,36.539,126.329,85.1,+9 hours
AMY,2016,416.89,417.4,419.5,422.04,412.17,410.63,425.67,418.37,405.12,417.46,421.62,414.54,Anmyeon-do,Republic of Korea,36.539,126.329,85.1,+9 hours
AMY,2017,417.94,419.11,416.69,416.66,414.76,410.32,404.3,399.56,403.96,410.15,412.41,413.91,Anmyeon-do,Republic of Korea,36.539,126.329,85.1,+9 hours
ASC,1979,337.7,337.7,337.7,337.7,337.7,337.7,337.7,337.44,337.31,337.28,337.94,338.55,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,1980,338.37,338.03,338.02,338.47,338.88,339.52,339.81,339.8,339.55,339.15,338.88,338.91,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,1981,339.22,339.03,339.38,339.71,339.17,339.23,340.37,341.03,340.78,340.61,340.4,339.94,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,1982,339.85,339.86,339.93,340.64,341.01,340.76,340.87,341.38,341.4,341.33,341.09,340.84,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,1983,341.6,342.01,341.79,341.94,342.64,343.59,343.69,343.43,343.46,343.6,343.47,343.54,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,1984,343.49,342.75,342.62,342.94,343.44,344.15,345.19,345.4,344.48,344.65,345.13,344.34,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,1985,343.86,343.96,344.39,344.24,344.36,345.56,346.24,345.95,346.01,346.48,346.39,346.21,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,1986,346.01,345.27,344.52,345.0,345.72,346.42,347.26,347.57,347.13,346.94,347.1,346.89,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,1987,346.69,346.8,347.01,347.25,348.14,349.26,349.49,349.77,349.61,349.41,349.75,349.69,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,1988,349.45,349.57,349.52,349.31,349.85,351.11,351.74,351.49,351.38,351.37,351.46,351.58,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
ASC,1989,351.62,351.45,350.86,350.91,351.46,351.89,352.52,352.74,352.58,352.36,352.22,352.14,Ascension Island,United Kingdom,-7.9670000000000005,-14.4,85.0,-1 hours
