Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1970,1361.36,1361.09,1361.64,1361.35,1361.24,1361.54,1361.33,1361.3,1361.34,1361.39,1361.37,1361.54
1971,1361.07,1361.08,1361.33,1361.09,1361.07,1361.14,1360.92,1360.89,1361.09,1360.84,1360.99,1360.97
1972,1361.26,1361.02,1361.06,1361.41,1360.91,1361.13,1361.25,1361.11,1361.28,1360.9,1361.03,1360.85
1973,1360.99,1360.99,1360.78,1360.89,1361.0,1360.93,1360.85,1360.85,1360.68,1360.84,1360.78,1360.8
1974,1360.77,1360.73,1360.85,1360.69,1360.9,1360.94,1360.62,1360.8,1360.7,1360.7,1360.85,1360.71
1975,1360.66,1360.64,1360.71,1360.8,1360.79,1360.7,1360.65,1360.51,1360.84,1360.77,1360.77,1360.74
1976,1360.71,1360.71,1360.57,1360.63,1360.76,1360.71,1360.68,1360.67,1360.72,1360.79,1360.71,1360.67
1977,1360.76,1360.86,1360.75,1360.82,1360.91,1360.71,1360.9,1360.93,1360.66,1360.9,1361.29,1361.18
1978,1361.27,1360.8,1361.11,1361.07,1361.24,1361.42,1361.45,1361.54,1361.12,1361.54,1361.28,1360.72
1979,1361.31,1361.73,1362.18,1361.65,1361.77,1361.03,1361.55,1361.52,1361.51,1361.54,1361.46,1361.95
1980,1361.91,1361.63,1362.07,1361.27,1361.42,1361.8,1361.71,1361.71,1361.59,1361.54,1361.0,1362.0
1981,1362.1,1361.57,1361.77,1362.12,1361.72,1361.58,1360.72,1362.15,1361.73,1361.42,1361.75,1361.59
1982,1361.88,1360.75,1360.76,1361.42,1361.37,1360.46,1361.11,1361.19,1361.48,1361.64,1361.41,1361.24
1983,1361.42,1361.25,1361.23,1361.2,1361.09,1361.08,1361.29,1361.46,1361.27,1361.05,1361.15,1361.08
1984,1360.3,1360.56,1361.18,1360.44,1360.71,1361.11,1361.15,1361.01,1360.9,1360.76,1360.62,1360.73
1985,1360.62,1360.68,1360.64,1360.51,1360.61,1360.68,1360.63,1360.77,1360.65,1360.54,1360.61,1360.65
1986,1360.67,1360.54,1360.69,1360.65,1360.73,1360.65,1360.63,1360.58,1360.58,1360.61,1360.71,1360.66
1987,1360.65,1360.64,1360.65,1360.58,1360.72,1360.86,1360.86,1360.76,1360.85,1360.82,1360.99,1361.01
1988,1361.07,1361.14,1360.92,1361.04,1361.36,1360.97,1360.73,1361.11,1361.5,1361.18,1361.27,1361.18
1989,1361.42,1361.62,1361.37,1361.61,1361.83,1361.23,1362.18,1361.48,1361.19,1362.03,1361.84,1361.88
1990,1361.9,1361.67,1361.67,1361.95,1361.55,1361.85,1361.44,1361.04,1361.86,1361.63,1360.75,1361.33
1991,1360.94,1361.29,1362.25,1362.18,1361.41,1361.4,1361.66,1361.59,1361.97,1361.06,1361.67,1360.83
1992,1361.54,1361.48,1361.9,1361.66,1361.49,1361.33,1361.02,1360.98,1361.15,1360.84,1361.03,1361.29
1993,1361.26,1360.72,1361.14,1361.11,1361.08,1361.1,1361.0,1361.0,1360.84,1360.6,1360.64,1360.8
1994,1360.55,1360.94,1360.99,1360.82,1360.74,1360.75,1360.7,1360.71,1360.57,1360.66,1360.79,1360.71
1995,1360.77,1360.86,1360.71,1360.68,1360.68,1360.73,1360.73,1360.77,1360.75,1360.68,1360.73,1360.7
1996,1360.7,1360.68,1360.62,1360.65,1360.67,1360.67,1360.66,1360.68,1360.74,1360.69,1360.56,1360.79
1997,1360.75,1360.76,1360.76,1360.75,1360.78,1360.77,1360.79,1360.85,1360.66,1361.01,1360.89,1360.91
1998,1361.05,1360.95,1360.84,1361.16,1361.07,1361.1,1361.34,1361.15,1361.11,1361.49,1361.35,1361.48
1999,1361.69,1361.41,1361.45,1361.36,1361.53,1361.42,1361.54,1361.59,1361.7,1361.23,1361.37,1361.48
2000,1361.77,1361.6,1361.39,1361.63,1361.28,1361.39,1361.51,1362.02,1361.41,1362.03,1361.89,1361.99
2001,1361.81,1361.84,1361.37,1361.33,1361.59,1361.49,1361.72,1361.42,1361.16,1361.78,1361.43,1361.89
