Code,Name,Country,Latitude,Longitude,Elevation (meters),Time from GMT
AAO,"Airborne Aerosol Observatory, Bondville, Illinois",United States,40.05,-88.37,230,-6 hours
ABP,"Arembepe, Bahia",Brazil,-12.77,-38.17,1,-3 hours
ABQ,"Albuquerque, New Mexico",United States,35.038,-106.622,1617,-7 hours
ACG,Alaska Coast Guard,United States,65,-165,0,-8 hours
ALT,"Alert, Nunavut",Canada,82.451,-62.507,190,-4 hours
AMS,Amsterdam Island,France,-37.798,77.538,55,+5 hours
AMT,"Argyle, Maine",United States,45.035,-68.682,53,-5 hours
AMY,Anmyeon-do,Republic of Korea,36.539,126.329,85.1,+9 hours
APP,Appalachian State,United States,36.2,-81.7,1100,-5 hours
ARH,"Arrival Heights, Antarctica",New Zealand,-77.833,166.2,250,-11 hours
ARN,El Arenosillo,Spain,37.1,-6.733,41,-1 hours
ASC,Ascension Island,United Kingdom,-7.967,-14.4,85,-1 hours
ASK,Assekrem,Algeria,23.262,5.632,2710,+1 hours
AVI,"St. Croix, Virgin Islands",United States,17.75,-64.75,3,-4 hours
AZR,"Terceira Island, Azores",Portugal,38.766,-27.375,19,-1 hours
BAL,Baltic Sea,Poland,55.35,17.22,3,+1 hours
BAO,"Boulder Atmospheric Observatory, Colorado",United States,40.05,-105.004,1584,-7 hours
BEO,Beo-Moussala,Bulgaria,42.179,23.586,2925,+3 hours
BER,"Prospect Hill, Bermuda",United Kingdom,32.301,-64.766,60,-4 hours
BGI,"Bradgate, Iowa",United States,42.82,-94.41,355.1,-6 hours
BHD,Baring Head Station,New Zealand,-41.408,174.871,85,+12 hours
BIS,"Bismarck, North Dakota",United States,46.772,-100.76,511,-6 hours
BKT,Bukit Kototabang,Indonesia,-0.202,100.318,845,+7 hours
BLD,"Boulder, Colorado",United States,39.991,-105.261,1628,-7 hours
BME,"St. Davids Head, Bermuda",United Kingdom,32.368,-64.648,12,-4 hours
BMW,"Tudor Hill, Bermuda",United Kingdom,32.265,-64.879,30,-4 hours
BNA,"Nashville, Tennessee",United States,36.247,-86.562,182,-6 hours
BND,"Bondville, Illinois",United States,40.052,-88.373,230,-6 hours
BNE,"Beaver Crossing, Nebraska",United States,40.8,-97.18,465.9,-6 hours
BOS,Table Mountain,United States,40.125,-105.237,1689,-7 hours
BRW,Barrow Atmospheric Baseline Observatory,United States,71.323,-156.611,11,-9 hours
BSC,"Black Sea, Constanta",Romania,44.178,28.665,0,+2 hours
CAR,"Briggsdale, Colorado",United States,40.635,-104.327,1488,-7 hours
CBA,"Cold Bay, Alaska",United States,55.21,-162.72,21.3,-9 hours
CBM,"Caribou, Maine",United States,46.868,-68.013,191,-5 hours
CGO,"Cape Grim, Tasmania",Australia,-40.683,144.69,94,+10 hours
CHR,Christmas Island,Republic of Kiribati,1.7,-157.152,0,-10 hours
CHS,Cherskii,Russia,68.513,161.531,30,+11 hours
CIB,Centro de Investigacion de la Baja Atmosfera (CIBA),Spain,41.81,-4.93,845,+1 hours
CMA,"Cape May, New Jersey",United States,38.83,-74.32,0,-5 hours
CMO,"Cape Meares, Oregon",United States,45.478,-123.969,30,-8 hours
COS,Cosmos,Peru,-12.12,-75.33,4600,-5 hours
CPR,Cape San Juan,"Puerto Rico, USA",18.381,-65.618,66,-4 hours
CPT,Cape Point,South Africa,-34.352,18.489,230,+2 hours
CRV,Carbon in Arctic Reservoirs Vulnerability Experiment (CARVE),United States,64.986,-147.598,611.4,-8 hours
CRZ,Crozet Island,France,-46.434,51.848,197,+5 hours
DND,"Dahlen, North Dakota",United States,47.5,-99.24,472.4,-6 hours
DRA,"Desert Rock, Nevada",United States,36.624,-116.019,1007,-8 hours
DRP,Drake Passage,N/A,-59,-64.69,0,-4 hours
DSI,Dongsha Island,Taiwan,20.699,116.73,3,+8 hours
EGB,"Egbert, Ontario",Canada,44.231,-79.783,251,-4 hours
EIC,Easter Island,Chile,-27.16,-109.428,47,-7 hours
ESP,"Estevan Point, British Columbia",Canada,49.383,-126.544,7,-8 hours
ETL,"East Trout Lake, Saskatchewan",Canada,54.35,-104.983,492,-6 hours
EUR,"Eureka, Nunavut",Canada,79.983,-85.95,0,-4 hours
FBK,"Fairbanks, Alaska",United States,64.86,-147.85,133,-9 hours
FLK,Falkland Islands,United Kingdom,-51.7,-57.87,51,-5 hours
FPK,"Fort Peck, Montana",United States,48.308,-105.102,634,-7 hours
FTL,Fortaleza,Brazil,-3.52,-38.28,3,-3 hours
FWI,"Fairchild, Wisconsin",United States,44.66,-90.96,334.3,-6 hours
GLF,Conejo,Mexico,18.72,-95.63,113,-6 hours
GMI,Mariana Islands,Guam,13.386,144.656,0,+10 hours
GOZ,"Dwejra Point, Gozo",Malta,36.048,14.889,1,+1 hours
GSN,"Gosan, Cheju Island",Republic of Korea,33.28,126.15,72,+8 hours
GWN,"Goodwin Creek, Mississippi",United States,34.255,-89.873,98,-5 hours
HAA,"Molokai Island, Hawaii",United States,21.23,-158.95,3,-10 hours
HBA,"Halley Station, Antarctica",United Kingdom,-75.605,-26.21,30,-2 hours
HFM,"Harvard Forest, Massachusetts",United States,42.538,-72.171,340,-5 hours
HIH,"Hilo, Hawaii",United States,19.717,-155.049,11,-10 hours
HIL,"Homer, Illinois",United States,40.07,-87.91,201.5,-6 hours
HNX,"Hanford, California",United States,36.314,-119.632,73,-8 hours
HPB,Hohenpeissenberg,Germany,47.801,11.024,936,+1 hours
HST,"Houston, Texas",United States,29.72,-95.4,19,-6 hours
HSU,Humboldt State University,United States,41.059,-124.75,0,-8 hours
HUA,Huancayo,Peru,-12.05,-75.32,0,+5 hours
HUN,Hegyhatsal,Hungary,46.95,16.65,248,+1 hours
HVA,"Huntsville, Alabama",United States,34.72,-86.64,0,+5 hours
