Station: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.78,-.36,-.43,-.61,-.31,-.43,-.42,.12,-.45,-.61,-.46,-.48,-.43,***,***,-.45,-.25,-.50
1881,-.75,-.57,-.32,-.22,.01,-1.07,-.49,-.21,-.32,-.45,-.52,-.11,-.42,-.45,-.60,-.18,-.59,-.43
1882,.15,-.08,-.05,-.56,-.35,-.99,-.68,-.08,-.04,-.28,-.36,-.64,-.33,-.29,-.01,-.32,-.58,-.23
1883,-.65,-.91,-.43,-.29,-.32,.47,.01,-.13,-.43,-.53,-.66,-.36,-.35,-.38,-.73,-.35,.12,-.54
1884,-.59,-.33,-.38,-.92,-1.18,-.81,-.84,.17,-.36,-.76,-.80,-.99,-.65,-.60,-.43,-.83,-.50,-.64
1885,-.91,-.78,-.90,-.85,-.48,-.92,-.61,-.14,-.14,-.01,-.36,.03,-.50,-.59,-.89,-.74,-.56,-.17
1886,-.75,-.81,-.67,-.61,-.55,-.82,-.39,-.72,-.41,-.84,-.48,-.74,-.65,-.58,-.51,-.61,-.64,-.58
1887,-.87,-1.27,-.59,-.84,-.87,-.67,-.41,-.25,-.62,-.55,-.92,-.63,-.71,-.72,-.96,-.77,-.45,-.69
1888,-.74,-.82,-.85,-.30,-.73,-.53,-.32,-.35,-.41,-.28,-.09,-.23,-.47,-.50,-.73,-.63,-.40,-.26
1889,-.29,.18,.09,.15,.10,-.23,-.41,-.57,-.34,-.18,-.42,-.40,-.19,-.18,-.12,.11,-.40,-.31
1890,-.57,-.59,-.58,-.49,-.88,-.54,-.56,-.58,-.31,-.23,-.73,-.50,-.55,-.54,-.52,-.65,-.56,-.42
1891,-.91,-1.01,-.46,-.60,-.44,-.51,-.66,-.53,-.44,-.50,-.48,.09,-.54,-.59,-.81,-.50,-.57,-.47
1892,-.59,-.27,-.55,-.66,-.62,-.52,-.34,-.22,-.43,-.28,-.58,-.55,-.47,-.42,-.26,-.61,-.36,-.43
1893,-1.39,-.96,-.55,-.62,-.70,-.64,-.08,-.29,-.20,-.02,-.07,-.33,-.49,-.51,-.97,-.62,-.34,-.10
1894,-.72,-.57,-.35,-.60,-.61,-.44,-.34,-.27,-.37,-.04,-.11,-.13,-.38,-.40,-.54,-.52,-.35,-.17
1895,-.65,-.73,-.47,-.42,-.26,-.25,-.49,-.15,-.12,-.07,-.14,-.07,-.32,-.32,-.50,-.38,-.30,-.11
1896,-.21,-.26,-.50,-.45,-.41,-.44,-.16,-.33,-.06,.02,-.40,-.17,-.28,-.27,-.18,-.45,-.31,-.15
