time (Julian Date),irradiance,uncertainty
2432231.0,1361.4567,0.015320704
2432232.0,1361.749,0.014868263
2432233.0,1361.971,0.014138132
2432234.0,1362.0973,0.012797156
2432235.0,1362.0118,0.010794758
2432236.0,1361.6336,0.0089586505
2432237.0,1361.5556,0.0077839386
2432238.0,1361.227,0.0069033142
2432239.0,1361.2511,0.0064025168
2432240.0,1360.9708,0.0067386455
2432241.0,1361.3043,0.0078913553
2432242.0,1361.8318,0.010004901
2432243.0,1361.1349,0.0085247925
2432244.0,1361.336,0.010114689
2432245.0,1362.1716,0.013157077
2432246.0,1362.7012,0.014970469
2432247.0,1362.9832,0.016460147
2432248.0,1363.4232,0.01746857
2432249.0,1363.126,0.018352975
2432250.0,1362.475,0.019090377
2432251.0,1361.8359,0.019588148
2432252.0,1361.2093,0.021619554
2432253.0,1360.9372,0.024224179
2432254.0,1360.1789,0.025189029
2432255.0,1359.5671,0.02430459
2432256.0,1359.1609,0.022713954
2432257.0,1359.8729,0.021815854
2432258.0,1362.399,0.023853142
2432259.0,1361.9189,0.016135719
2432260.0,1361.8486,0.012459203
2432261.0,1362.1897,0.010263397
2432262.0,1362.3498,0.0088783169
2432263.0,1361.9653,0.0072039723
2432264.0,1361.722,0.0060110129
2432265.0,1361.6808,0.0060142525
2432266.0,1361.7436,0.0066626512
2432267.0,1361.6431,0.0074034977
2432268.0,1361.6031,0.0078064434
2432269.0,1361.6122,0.0078170066
2432270.0,1361.5024,0.0075612682
2432271.0,1361.7292,0.0091681013
2432272.0,1361.7535,0.010160156
2432273.0,1361.5227,0.010653633
2432274.0,1361.9351,0.012722846
2432275.0,1361.845,0.012783331
2432276.0,1362.2374,0.015163912
2432277.0,1361.686,0.015017769
2432278.0,1361.2386,0.016110706
2432279.0,1360.9733,0.020091144
2432280.0,1360.2566,0.020462561
2432281.0,1360.168,0.025497254
2432282.0,1361.1341,0.030982732
2432283.0,1361.3031,0.034623845
2432284.0,1360.9399,0.031949987
2432285.0,1361.0476,0.025221839
2432286.0,1361.6946,0.022440577
2432287.0,1362.3288,0.0186772
2432288.0,1361.9078,0.013465005
2432289.0,1362.063,0.0099116855
2432290.0,1362.1351,0.0080924637
2432291.0,1362.0753,0.0071330191
2432292.0,1362.0704,0.0070363454
2432293.0,1361.9484,0.0072737703
2432294.0,1361.8042,0.0074368702
2432295.0,1361.7136,0.0070810092
2432296.0,1361.8323,0.0070329247
2432297.0,1361.9076,0.0073617781
2432298.0,1362.1626,0.0079536358
2432299.0,1362.3087,0.0095934992
2432300.0,1362.762,0.012659325
2432301.0,1362.0592,0.013802093
2432302.0,1362.9756,0.018311591
2432303.0,1362.9887,0.018409707
2432304.0,1362.4598,0.017336544
2432305.0,1363.0378,0.018105994
2432306.0,1363.1569,0.017869148
2432307.0,1362.6162,0.015374707
2432308.0,1362.9495,0.015766865
2432309.0,1363.1189,0.01632535
2432310.0,1362.3876,0.017070822
2432311.0,1362.2557,0.015923839
2432312.0,1361.5891,0.012636832
2432313.0,1361.7976,0.01392809
2432314.0,1361.7931,0.013117909
2432315.0,1361.8883,0.012563853
2432316.0,1361.6199,0.012829036
2432317.0,1361.6623,0.013101198
2432318.0,1362.0845,0.013772915
2432319.0,1362.6329,0.015228406
2432320.0,1361.5563,0.010319238
2432321.0,1361.6143,0.0095341167
2432322.0,1362.6036,0.01319082
2432323.0,1362.7951,0.01345288
2432324.0,1362.3763,0.013670584
2432325.0,1362.0772,0.014875969
2432326.0,1361.9517,0.018013091
2432327.0,1362.3599,0.021808201
2432328.0,1361.3484,0.01959158
2432329.0,1361.3353,0.022839081
2432330.0,1361.8825,0.02270265
2432331.0,1361.845,0.021303833
2432332.0,1362.2233,0.01941498
2432333.0,1362.1472,0.018933596
2432334.0,1363.5254,0.02186272
2432335.0,1363.2474,0.021117423
2432336.0,1362.9731,0.018055549
2432337.0,1362.6409,0.01519232
2432338.0,1362.8672,0.015042676
2432339.0,1363.1802,0.014952977
2432340.0,1362.6715,0.012366769
2432341.0,1362.7496,0.011999902
2432342.0,1362.8104,0.012004856
2432343.0,1362.4186,0.011745493
2432344.0,1362.6908,0.013881245
2432345.0,1362.9508,0.015563317
2432346.0,1363.1443,0.015890862
2432347.0,1362.9063,0.013975836
2432348.0,1362.1424,0.009576058
2432349.0,1361.5616,0.0067898385
2432350.0,1362.1802,0.0085830592
2432351.0,1362.346,0.0086439753
2432352.0,1362.1226,0.0085006781
2432353.0,1362.162,0.0092079708
2432354.0,1362.3493,0.011630027
2432355.0,1362.9867,0.014944168
2432356.0,1362.9761,0.017212771
2432357.0,1362.7254,0.016672757
2432358.0,1362.8639,0.018037623
2432359.0,1363.0683,0.018385569
2432360.0,1362.9987,0.01756395
2432361.0,1362.6612,0.015674058
2432362.0,1363.1214,0.015787054
2432363.0,1362.9763,0.013636099
2432364.0,1362.9007,0.012476523
2432365.0,1363.1615,0.014392505
2432366.0,1362.9049,0.01345956
2432367.0,1362.3145,0.011457704
2432368.0,1362.2026,0.010749686
2432369.0,1362.2105,0.010562129
2432370.0,1362.3976,0.010661231
2432371.0,1362.5952,0.011214128
2432372.0,1362.4251,0.010756923
